id;description;canton;direction_1;direction_2;route;east_lv95;north_lv95
2;CHALET-A-GOBET;VD;c;LAUSANNE            ;H 1;2545269;1158463
3;BRISSAGO S;TI;ITALIEN             ;LOCARNO             ;H 13;2697383;1106719
5;SCHWANDEN N;GL;GLARUS              ;LINTHAL             ;H 17;2724500;1206725
6;MUTTENZ, A2/ZUBR. SCHAENZLI;BL;DELEMONT;BASEL               ;H 18;2613975;1265100
9;BRUENIG, LETZI;OW;INTERLAKEN          ;LUZERN              ;A 8;2653895;1180111
10;HOSPENTAL S, ST. GOTTHARD;UR;BELLINZONA;GOESCHENEN;H 2;2686133;1163466
14;JULIER, LA VEDUTA;GR;ST. MORITZ          ;CHUR                ;H 3;2780967;1148640
16;TWANN, WINGREIS (AR);BE;BIEL                ;NEUCHATEL           ;A 5;2580072;1216807
17;BUCHS AG (AB);AG;HUNZENSCHWIL        ;AARAU               ;A 1R;2650037;1248772
18;MEIRINGEN E, LAMMI;BE;INNERTKIRCHEN       ;INTERLAKEN          ;H 6;2658844;1174166
20;UMF. ZUERICH N, AFFOLTERN (AB);ZH;GLATTBRUGG          ;VERZW. A1C/A1;A 1C;2683206;1254171
22;KRIESSERN (AB);SG;SARGANS;ST. MARGRETHEN;A 13;2764911;1248590
23;MATTSTETTEN (AB);BE;ZUERICH;BERN;A 1;2607542;1211292
24;ROLLE (AR);VD;LAUSANNE;GENEVE;A 1;2511980;1144261
25;BAD RAGAZ (AB);SG;CHUR                ;SARGANS             ;A 13;2757109;1209132
26;ENNETHORW (AB);LU;STANS;LUZERN;A 2;2666381;1205794
27;DISENTIS E;GR;DISENTIS            ;REICHENAU           ;H 19;2710375;1174814
30;SOYHIERES;JU;DELEMONT            ;LAUFEN              ;H 18;2594890;1248731
32;DEITINGEN (AB);SO;ZUERICH             ;BERN;A 1;2613134;1230399
33;EPTINGEN N (AB);BL;HAERKINGEN          ;AUGST               ;A 2;2628330;1249583
35;TRUEBBACH S (AB);SG;VERZW. A3 / A13;ST. MARGRETHEN;A 13;2753828;1211721
38;STARRKIRCH;SO;AARAU               ;OLTEN               ;H 5;2636575;1244700
40;ALPNACHSTAD (AB);OW;BRUENIG             ;LUZERN              ;A 8;2663860;1200535
41;GRAND-ST-BERNARD (TUNNEL);VS;ITALIEN;SCHWEIZ;H 21;2580955;1083000
42;UMF. BERN OST (AB);BE;FREUDENBERGERPL.;WANKDORF;A 6;2602424;1200830
43;PREVERENGES (AR);VD;LAUSANNE            ;MORGES              ;A 1;2531160;1153570
44;SAN BERNARDINO (TUNNEL);GR;BELLINZONA          ;CHUR                ;A 13;2734280;1147290
47;LAUFENBURG W;AG;KOBLENZ             ;BASEL               ;H 7;2646309;1267463
49;STANSSTAD S (AB);NW;ALTDORF             ;LUZERN              ;A 2;2668230;1203208
50;BRUNNEN, MOSITUNNEL;SZ;ALTDORF             ;LUZERN              ;A 4;2689129;1205058
51;STABIO;TI;ITALIEN;MENDRISIO;H 394;2716211;1078348
53;WEESEN, KERENZERBERG (AB);GL;SARGANS;ZUERICH;A 3;2726202;1220871
54;ADLISWIL (AB);ZH;SARGANS             ;ZUERICH             ;A 3;2682858;1241587
55;RICHTERSWIL (AB);ZH;SARGANS             ;ZUERICH             ;A 3;2693420;1229725
56;SCHOENBUEHL, GRAUHOLZ (AB);BE;ZUERICH;BERN;A 1;2604170;1205987
59;TRAV. DE NEUCHATEL E (AR);NE;ST-BLAISE           ;YVERDON             ;A 5;2562400;1205480
60;GUNZGEN (AB);SO;ZUERICH             ;BERN                ;A 1;2628894;1240158
64;CONT. DE LAUSANNE (AR);VD;VEVEY;GENEVE;A 9;2538074;1155288
66;SCHLIEREN (AB);ZH;ZUERICH             ;BERN                ;A 1;2677044;1250996
67;NATERS, BITSCH;VS;FIESCH              ;BRIG                ;H 19;2644895;1132144
68;COLOVREX-LAC (AR);GE;LAUSANNE            ;GENEVE              ;A 1;2499780;1123301
69;COLOVREX-AEROPORT (AR);GE;LAUSANNE            ;AEROPORT            ;A 1A;2499780;1123301
70;BASEL, SCHWARZWALDBR. (AB);BS;AUGST               ;DEUTSCHLAND         ;A 2;2613278;1267383
72;HUNZENSCHWIL (AB);AG;ZUERICH;BERN;A 1;2650773;1248155
73;HAERKINGEN (AB);SO;ZUERICH             ;BERN                ;A 1;2627897;1240215
75;BOWIL, BORI;BE;LANGNAU             ;ZAEZIWIL            ;H 10;2620471;1194822
76;GRANCIA (AS);TI;CHIASSO             ;LUGANO              ;A 2;2715305;1091438
77;CHIASSO-BROGEDA (AS);TI;ITALIEN;SCHWEIZ;A 2;2722974;1077710
78;PAYERNE S;VD;BERN                ;LAUSANNE            ;H 1;2560432;1181055
79;SEEBERG N;BE;HERZOGENBUCHSEE     ;KIRCHBERG           ;H 1;2617237;1223443
81;MUTTENZ, HARD (AB);BL;AUGST;BASEL;A 2;2615523;1265351
82;GOSSAU (AB);SG;ST. GALLEN          ;WINTERTHUR          ;A 1;2734186;1254450
83;VILLENEUVE (AR);VD;MARTIGNY            ;VEVEY               ;A 9;2560490;1137020
84;ST. GALLEN, ROSENB'TUNNEL (AB);SG;ST. GALLEN OST;ST. GALLEN WEST;A 1;2746350;1255250
87;GUETTINGEN;TG;ROMANSHORN          ;KREUZLINGEN         ;H 13;2739472;1274007
93;UMF. WINTERTHUR (AB);ZH;OHRINGEN;WUELFLINGEN;A 1;2694658;1263745
95;THUN, ALLMENDTUNNEL (AB);BE;SPIEZ               ;BERN                ;A 6;2612489;1177683
96;DOMAT/EMS (AB);GR;REICHENAU           ;CHUR                ;A 13;2753887;1189362
97;BADEN, BAREGGTUNNEL (AB);AG;ZUERICH             ;BERN                ;A 1;2665537;1256526
98;CASTASEGNA;GR;CHIAVENNA           ;ST. MORITZ          ;H 3;2761091;1133481
99;UMF. S-CHANF;GR;ZERNEZ              ;ST. MORITZ          ;H 27;2795547;1165768
100;CIRCONVAL. BELLINZONA (AS);TI;LUGANO              ;VERZW. A2/A13;A 2;2722745;1118818
102;RHEINFELDEN (AB);AG;RHEINFELDEN         ;AUGST               ;A 3;2625879;1266039
104;MURI BE S (AB);BE;THUN;BERN;A 6;2605205;1196628
105;BAAR N (AB);ZG;VERZW. A14/A4;SIHLBRUGG           ;A 14;2683722;1229433
107;WUENNEWIL (AB);FR;FLAMATT             ;DUEDINGEN           ;A 12;2587577;1191668
110;SIMPLON, JOSEFGALERIE S;VS;GONDO               ;BRIG                ;A 9;2646330;1122403
111;FRUTIGEN S, KANDERGRUND;BE;KANDERSTEG          ;FRUTIGEN            ;H 223;2617484;1154627
112;PONT DE THIELLE;NE;INS                 ;NEUCHATEL           ;H 10;2569036;1207857
114;BRUETTISELLEN N (AB);ZH;WINTERTHUR          ;ZUERICH             ;A 1;2690865;1253177
115;LUZERN, REUSSPORTTUNNEL (AB);LU;LUZERN              ;EMMENBRUECKE        ;A 2;2664550;1212506
116;GRANDVAUX N (AR);VD;VEVEY               ;LAUSANNE-VENNES     ;A 9;2544482;1150272
117;HUENENBERG S (AB);ZG;HOLZHAEUSERN / LUZERN;CHAM                ;A 4;2675299;1225207
118;BERN, FELSENAUVIADUKT (AB);BE;WANKDORF            ;WEYERMANNSHAUS;A 1;2601675;1201975
119;ERLENBACH I.S.;BE;ZWEISIMMEN          ;SPIEZ               ;H 11;2609138;1167779
120;SISIKON S;UR;ALTDORF             ;BRUNNEN             ;A 4;2689987;1200021
121;COLOMBIER, AREUSE (AR);NE;NEUCHATEL;YVERDON;A 5;2556534;1201494
122;FRAUENFELD W, KEFIKON (AB);TG;FRAUENFELD;WINTERTHUR;A 7;2705424;1268002
123;SCHAFFHAUSEN N (AB);SH;SCHAFFHAUSEN        ;DEUTSCHLAND         ;A 4;2690868;1285503
124;MURI AG N;AG;LENZBURG            ;SINS                ;H 25;2667483;1237355
125;WUERENLINGEN;AG;BRUGG;KOBLENZ;H 5;2660720;1265440
126;LUZERN, SONNENBERGTUNNEL (AB);LU;KRIENS              ;EMMEN               ;A 2;2664984;1210167
127;ORBE N (AR);VD;VERZW. A9/A1;VALLORBE            ;A 9;2530076;1177266
129;HAGENBUCH, STEGEN (AB);ZH;ST. GALLEN          ;WINTERTHUR          ;A 1;2706397;1265395
131;TAMINS;GR;ILANZ;REICHENAU;H 19;2749966;1188215
132;PARDISLA, CHLUSTUNNEL;GR;KLOSTERS            ;LANDQUART           ;A 28;2764826;1204671
133;SCHULS W;GR;MARTINA             ;ZERNEZ              ;H 27;2816241;1185872
135;ARBON, A1/ZUBRINGER TG;TG;MEGGENHUS           ;STEINELOO           ;A 23;2748145;1263785
137;MONTE CENERI (AS);TI;LUGANO              ;BELLINZONA          ;A 2;2716537;1111418
138;BRUSIO N;GR;CAMPOCOLOGNO        ;POSCHIAVO           ;H 29;2806513;1127048
139;LUTERBACH (AB);SO;VERZW. A5/A1;SOLOTHURN;A 5;2611970;1228800
140;KALLNACH S;BE;AARBERG             ;KERZERS             ;H 187;2583728;1207103
141;SULGEN E;TG;WEINFELDEN          ;AMRISWIL            ;H 14;2731748;1267622
142;ZOFINGEN (AB);AG;LUZERN              ;VERZW. A1/A2;A 2;2636394;1239272
143;BASEL, GRENZBRUECKE (AB);BS;BASEL               ;DEUTSCHLAND         ;A 2;2612275;1270420
145;AARBURG N;AG;AARBURG             ;OLTEN               ;H 2;2635555;1243288
147;CONT. DE BULLE (AR);FR;FRIBOURG            ;VEVEY               ;A 12;2569468;1164191
149;MEX (AR);VD;YVERDON             ;LAUSANNE            ;A 1;2532454;1158072
150;GOTTHARDTUNNEL (AB);UR;BELLINZONA          ;WASSEN              ;A 2;2688250;1169125
155;GLETSCH N, GRIMSEL;VS;GLETSCH             ;INNERTKIRCHEN       ;H 6;2670583;1157085
156;SEELISBERGTUNNEL (AB);UR;WASSEN              ;LUZERN              ;A 2;2688357;1193763
157;ALVASCHEIN, SOLISTUNNEL;GR;TIEFENCASTEL;THUSIS;H 417;2759635;1172139
159;EMMENBRUECKE, RIFFIG (AB);LU;LUZERN              ;VERZW. A1/A2;A 2;2661281;1216370
160;LA HEUTTE (AR);BE;BIENNE              ;SONCEBOZ            ;A 16;2582664;1226335
162;MUEHLEBERG, SAANEVIAD. (AB);BE;BERN;KERZERS;A 1;2585873;1201170
163;MUENCHENBUCHSEE N (AB);BE;SCHOENBUEHL;LYSS;A 6;2602303;1208581
164;VISP W;VS;BRIG                ;SION                ;H 9;2631765;1127507
165;MARTIGNY N (AR);VS;SION                ;LAUSANNE            ;A 9;2571457;1107542
166;BIASCA S (AS);TI;BELLINZONA          ;AIROLO              ;A 2;2717175;1134511
167;EBIKON, RATHAUSEN (AB);LU;LUZERN              ;VERZW. A4/A14;A 14;2666069;1214356
169;FLUELA, TSCHUGGEN;GR;SUSCH               ;DAVOS               ;H 28;2787886;1186200
170;GIESSBACHTUNNEL (AB);BE;BRIENZ              ;INTERLAKEN          ;A 8;2642790;1175062
171;SATTEL N;SZ;VERZW. SATTEL       ;ROTHENTHURM         ;H 8;2691106;1215398
172;AIGLE, PONT GRANDE EAU;VD;LE SEPEY            ;AIGLE               ;H 11;2564347;1129758
173;LES VERRIERES;NE;NEUCHATEL           ;FRANCE              ;H 10;2525793;1195061
174;COL DES ROCHES;NE;LE LOCLE            ;FRANCE              ;H 20;2545384;1211346
175;CONT. DE FRIBOURG (AR);FR;FLAMATT             ;BULLE               ;A 12;2577126;1185554
178;ANDELFINGEN, WEINLANDBR.;ZH;WINTERTHUR;SCHAFFHAUSEN;A 4;2694197;1272710
179;SAIGNELEGIER W;JU;SAIGNELEGIER        ;LE NOIRMONT         ;H 18;2565920;1233668
180;THAYNGEN;SH;SCHAFFHAUSEN        ;DEUTSCHLAND         ;H 15;2695644;1288580
181;FLURLINGEN S (AB);ZH;WINTERTHUR;SCHAFFHAUSEN;A 4;2689346;1281326
182;KIRCHBERG N (AB);BE;ZUERICH             ;BERN                ;A 1;2610208;1215865
184;BERN, BUEMPLIZ (AB);BE;BERN;FLAMATT;A 12;2596842;1198268
186;ST-GINGOLPH E;VS;VIONNAZ             ;ST-GINGOLPH         ;H 21;2552118;1137785
188;LA CURE;VD;SCHWEIZ;FRANCE              ;H 123;2495109;1146860
189;LE LOCLE E;NE;LA CHAUX-DE-FONDS;LE LOCLE            ;H 20;2549025;1213210
190;NOIRAIGUE, CLUSETTE;NE;NEUCHATEL           ;LES VERRIERES       ;H 10;2545750;1201074
191;GOLDAU S (AB);SZ;BRUNNEN             ;IMMENSEE            ;A 4;2685156;1211071
194;URDORF (AB);ZH;BIRMENSDORF         ;VERZW. A1/A1C;A 3;2673700;1249322
195;ERSTFELD S (AB);UR;GOESCHENEN          ;LUZERN              ;A 2;2693625;1183208
196;ANDERMATT, SCHOELLENEN;UR;ANDERMATT;GOESCHENEN;A 2;2688307;1166289
197;DALLENWIL;NW;ENGELBERG           ;STANS               ;H 374;2672648;1198348
198;GOLDACH S (AB);SG;ST. MARGRETHEN;ST. GALLEN;A 1;2753927;1259247
199;MENDRISIO S (AS);TI;CHIASSO             ;MELIDE              ;A 2;2719007;1080145
200;GENEVE, BARDONNEX (AR);GE;GENEVE              ;FRANCE              ;A 1A;2496316;1112004
201;SION E  (AR);VS;SIERRE              ;MARTIGNY            ;A 9;2596546;1121026
203;ROVEREDO (AS);GR;CASTIONE            ;SAN BERNARDINO      ;A 13;2729214;1121305
204;LAVORGO S (AS);TI;BELLINZONA          ;AIROLO              ;A 2;2708841;1142821
205;EMMENBRUECKE, GRUEBLISCH. (AB);LU;VERZW. A2/A14;SEMPACH;A 2;2664999;1214105
206;YVERDON, EPENDES (AR);VD;YVERDON             ;ORBE                ;A 1;2536717;1177902
207;HEIMBERG (AB);BE;THUN                ;BERN                ;A 6;2612285;1181855
208;BIRRHARD, VERZW. A1  (AB);AG;ZUERICH;BERN;A 1;2661074;1255458
209;MARTIGNY, LE BROCARD;VS;GD. ST-BERNARD;MARTIGNY;H 21;2570178;1103099
210;AUGST S, VERZW. A2/A3 (AB);BL;SISSACH;VERZW. A2/A3;A 2;2622500;1264250
211;LEISSIGEN (TUNNEL) (AS);BE;INTERLAKEN;SPIEZ;A 8;2625750;1166750
212;VUE-DES-ALPES (TUNNEL);NE;NEUCHATEL;LA CHAUX-DE-FONDS;H 20;2558000;1212670
213;WIESENDANGEN, VERZW. A1/A7 (AB);ZH;VERZW. A1/A7;ZUERICH;A 1;2701363;1265438
214;BERN, BRUENNENTUNNEL (AB);BE;WEYERMANNSHAUS;KERZERS;A 1;2595858;1200045
215;MUELLHEIM (AB);TG;KREUZLINGEN;VERZW. A7/T14;A 7;2717930;1272680
216;WANGEN SZ (AB);SZ;WEESEN;LACHEN;A 3;2710351;1227960
217;MUENCHWILEN E (AB);TG;WIL;VERZW. A1/A7;A 1;2718189;1259032
218;CRESSIER (AR);NE;BIENNE;NEUCHATEL;A 5;2569000;1210107
219;SCHINZNACH DORF (AB);AG;VERZW. A3/A1;FRICK;A 3;2653168;1256386
220;MUELLIGEN, VERZW. A3/A1 (AB);AG;VERZW. A3/A1;FRICK;A 3;2660845;1255463
221;ZUERICH BRUNAU (AB);ZH;SARGANS;ZUERICH;A 3;2681898;1244785
222;PAYERNE N (AR);FR;AVENCHES;YVERDON;A 1;2560936;1187797
224;GENEVE, PLAN-LES-OUAT. (AR);GE;LAUSANNE/FRANCE;GENEVE VILLE;A 1A;2497728;1113077
225;EGERKINGEN, VERZWEIGUNG A2 (AB);SO;HAERKINGEN;AUGST;A 2;2627780;1240628
226;CRISSIER (AR);VD;YVERDON/VEVEY;LAUSANNE/GENEVE;A 1;2532793;1156737
227;OFENPASS, BUFFALORA;GR;STA. MARIA;ZERNEZ;H 28;2816473;1170261
228;ZIZERS (AB);GR;CHUR;SARGANS;A 13;2761707;1199507
229;OFTRINGEN E (AB);AG;ZUERICH;BERN;A 1;2638580;1240874
230;HASLE-RUEGSAU W;BE;RAMSEI;BURGDORF;H 23;2615549;1207616
232;SAXON W (AR);VS;SION;MARTIGNY;A 9;2578312;1111120
233;ST-URSANNE, TUN. TERRI (AR);JU;DELEMONT;PORRENTRUY;A 16;2579500;1247500
234;YVERDON, TUN. DE POMY (AR);VD;PAYERNE;YVERDON;A 1;2542580;1179197
235;PIETERLEN W (AB);BE;SOLOTHURN;BIEL;A 5;2589206;1223392
237;GRENCHEN (AB);SO;SOLOTHURN;BIEL;A 5;2598970;1225052
238;ROTHENBRUNNEN S (AB);GR;THUSIS;REICHENAU;A 13;2751702;1180575
239;REIDEN S (AB);LU;LUZERN;VERZW. A1/A2;A 2;2639545;1232105
240;UMF. ZUERICH N, SEEBACH (AB);ZH;VERZW. A20/A51;ZUERICH-AFFOLTERN;A 1C;2685268;1253214
241;OPFIKON (AB);ZH;VERZW. A11/A20;KLOTEN;A 11;2685522;1253812
242;HEGNAU W (AB);ZH;WETZIKON;BRUETTISELLEN;A 15;2692509;1250281
243;ST. GALLEN E, BERGBACHVIADUKT (AB);SG;GOLDACH;GOSSAU;A 1;2749309;1256700
244;REINACH BL (AB);BL;DELEMONT;BASEL;A 18;2612357;1260847
245;SARGANS A3 (AB);SG;VERZW. A3/A13;WEESEN;A 3;2752080;1211900
246;KREUZLINGEN, GIRSBAERGTUNNEL N (AB);TG;DEUTSCHLAND;FRAUENFELD;A 7;2728994;1279411
247;ONNENS VD (AR);VD;NEUCHATEL;YVERDON;A 5;2542650;1188430
248;RHEINFELDEN, AUTOBAHNZUBRINGER A3;AG;AUTOBAHN A3;KANTONSSTR. K292;A 3;2624193;1265739
249;COPPET W (AR);VD;LAUSANNE;GENEVE;A 1;2500440;1130360
250;AIGLE E (AR);VD;SION;LAUSANNE;A 9;2562090;1129100
251;ERSTFELD N (AB);UR;GOESCHENEN;LUZERN;A 2;2691180;1190220
252;VERZWEIGUNG ALTDORFA2/A4 (AB);UR;GOTTHARD;LUZERN / FLUELEN;A 2;2689958;1193854
253;GAMSEN (TUNNEL) (AB);VS;BRIG;SION;A 9;2640053;1128099
255;ZWEILUETSCHINEN N;BE;ZWEILUETSCHINEN;INTERLAKEN;H 221;2635248;1164591
257;BASEL, ANSCHLUSS WIESE, KLEINHAENINGEN (AB);BS;BASEL;DEUTSCHLAND;A 2;2612038;1269634
258;JULIER, LA VEDUTA;GR;ST. MORITZ;CHUR;H 3;2774970;1149050
260;FURKAPASS, TIEFENBACH;UR;REALP;GLETSCH;H 19;2678328;1160723
261;OBERALPPASS W;UR;ANDERMATT;SEDRUN;H 19;2689975;1166316
262;SUSTENPASS, MEIEN;UR;WASSEN;INNERTKIRCHEN;H 11;2686845;1174746
263;NUFENENPASS;VS;AIROLO;ULRICHEN;H 413;2672782;1147843
264;KLAUSENPASS W;UR;GLARUS;ALTDORF;H 17;2702338;1191993
265;MOLENO N (AS);TI;BELLINZONA;BIASCA;A 2;2719805;1127050
268;ST. MAURICE (AR);VS;SION;LAUSANNE;A 9;2566705;1118837
269;SIERRE W (AB);VS;BRIG;SION;A 9;2606080;1125496
270;ZUERICH - OERLIKON (AB) ZH 1301;ZH;WINTERTHUR;ZUERICH CITY;A 1L;2685589;1251824
271;MURI BE N (AB);BE;THUN;BERN;A 6;2603988;1198400
272;GENEVE, PONT DU RHONE (AR);GE;LAUSANNE;GENEVE VILLE / FRANCE;A 1;2494970;1116830
273;BASEL, ANSCHLUSS WIESE, A2 (AB);BS;BASEL;DEUTSCHLAND;A 2;2612330;1269156
274;WUERENLOS (AB) - AG1401;AG;ZUERICH;BERN;A 1;2668172;1255204
275;FRAUENFELD OST  (AB);TG;KREUZLINGEN;FRAUENFELD;A 7;2712014;1271071
277;BASEL, GELLERT NORD (AB);BS;BASEL SBB / AUGST;BASEL BREITE;A 2;2613208;1266229
278;BASEL, GELLERT SUED (AB);BS;AUGST;BASEL SBB;A 2 / A 3;2613319;1266029
279;ENNEY N, SAUSSIVUE;FR;CHATEAU D'OEX;BULLE;H 190;2573331;1158876
280;SCHAFISHEIM (AB) -  AG1410;AG;ZUERICH;BERN;A 1;2653060;1249157
281;OHRINGEN ANSCHLUSS 1 (AB);ZH;ST. GALLEN          ;ZUERICH;A 1;2696110;1264377
282;ST. JOSEFEN, SITTERVIADUKT (AB);SG;ST. MARGRETHEN;WINTERTHUR;A 1;2742985;1253860
283;BASEL - ST. JOHANN, TUNNEL E (AB);BS;BASEL;FRANKREICH;A 3;2610303;1268982
284;WINTERTHUR, KEMPTTHAL (AB);ZH;WINTERTHUR;ZUERICH;A 1;2695800;1257561
285;BERN, FORSTHAUS (AB);BE;WANKDORF;VERWZ. A1/A12;A 1;2598458;1200554
286;WALLISELLEN (AB);ZH;WINTERTHUR;ZUERICH;A 1;2688925;1251724
287;WEININGEN, GUBRIST (AB);ZH;GLATTBRUGG;VERZW. A1C/A1;A 1C;2678806;1253105
288;NIEDERBIPP (AB);BE;ZUERICH;BERN;A 1;2620968;1235702
289;CAMIGNOLO (AS);TI;LUGANO;BELLINZONA;A 2;2715350;1106550
290;OFTRINGEN / ROTHRIST (AB) - AG1412;AG;ZUERICH;BERN;A 1;2635150;1239950
291;RENENS (AR);VD;YVERDON/VEVEY;LAUSANNE/GENEVE;A 1;2533308;1155358
292;MADISWIL N;BE;HUTTWIL;LANGENTHAL;H 244;2627094;1224255
293;QUINTO (AS);TI;BELLINZONA;AIROLO;A 2;2697164;1151886
294;KUETTIGEN N;AG;AARAU;FRICK;H 24;2646500;1252750
295;OESCHGEN (AB);AG;BIRRFELD;AUGST;A 3;2643246;1263277
296;HORW, SCHLUNDTUNNEL (AB);LU;STANS;LUZERN;A 2;2665192;1207934
297;BIRSFELDEN ZUBRINGER A2 - BL1101;BL;AUTOBAHN A2;BIRSFELDEN;A 2;2614495;1265822
298;OTHMARSINGEN (AB);AG;ZUERICH;BERN;A 1;2658022;1250326
299;WOLLERAU, BLATTTUNNEL (AB);SZ;SARGANS;ZUERICH;A 3;2695600;1228200
300;ETOY (AR);VD;LAUSANNE;GENEVE;A 1;2521103;1147823
301;BIRMENSDORF N (AB) - ZH1103;ZH;VERZW. ZUERICH WEST;URDORF;A 4;2674350;1246800
302;ARBON, A1/ZUBRINGER SG;SG;MEGGENHUS;ARBON;A 23;2750964;1261200
303;THURAU (AB);SG;ST.GALLEN;WINTERTHUR;A 1;2723354;1257566
304;EICH (AB);LU;SEMPACH;SURSEE;A 2;2655756;1222211
305;BRUEGG;BE;LYSS;BIEL/BIENNE;A 6;2587730;1218820
306;ViILLAR-SUR-GLÂNE (AR);FR;BERN;VEVEY;A 12;2574550;1182500
307;OBERFAHR (AB);SG;SARGANS;ST. MARGRETHEN;A 13;2766667;1254065
308;LACHEN (AB);SZ;CHUR;ZUERICH;A 3;2705496;1227546
309;SPIEZ (AB);BE;INTERLAKEN;THUN;A 6;2616972;1170937
310;SENNWALD (AB);SG;SARGANS;ST. MARGRETHEN;A 13;2758081;1236583
311;STEINHAUSEN W (AB);ZG;VERZW. A14/A4;SIHLBRUGG;A 14;2677700;1228000
312;MUELLIGEN OST (AB) - AG1422;AG;VERZW. A3/A1;FRICK;A 3;2660280;1255650
313;ARDON (AR);VS;BRIG;VEVEY;A 9;2587142;1117365
314;REICHENBURG (AB);SG;SARGANS;ZUERICH;A 3;2717590;1226745
315;ZUCHWIL (AB);SO;LUTERBACH;BIEL/BIENNE;A 5;2609555;1227665
317;BENKEN ANSCHLUSS (AB);ZH;ZUERICH;Schaffhausen;A 4;2691086;1277961
318;MELS N (AB);SG;SARGANS;ZUERICH;A 3;2751449;1212623
319;BUONAS (AB);ZG;KUESSNACHT;ROTKREUZ;A 4;2676425;1221615
320;CHUR NORD (AB);GR;CHUR;SARGANS;A 13;2759890;1194725
321;BASEL, ANSCHLUSS WIESE, A3 (AB);BS;BASEL;FRANKREICH;A 3;2612045;1269137
322;ZILLIS (AS);GR;SAN BERNARDINO;CHUR;A 13;2754100;1168911
323;MURTEN (AB);FR;KERZERS;PAYERNE;A 1;2573400;1194750
324;CHATEL-ST-DENIS N (AR);FR;FRIBOURG;VEVEY;A 12;2559863;1155373
325;DUEDINGEN S (AB);FR;FLAMATT;FRIBOURG;A 12;2579997;1188731
